source_file,title_candidate,body_chars,best_collection,best_overlap,whole_body_contained,decision,selected_for_master
contos/macn043.txt,"Conto, Decadência de dois grandes homens, 1873",25927,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn044.txt,"Conto, Um Homem superior, 1873",27266,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn045.txt,"Conto, Nem uma nem outra, 1873",76145,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn046.txt,"Conto, Quem conta um conto, 1873",25824,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn047.txt,"Conto, Tempo de crise, 1873",21371,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn048.txt,"Conto, Miloca, 1874",43010,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn049.txt,"Conto, Um dia de entrudo, 1874",34771,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn050.txt,"Conto, Muitos Anos Depois, 1874",37873,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn051.txt,"Conto, Os óculos de Pedro Antão, 1874",34308,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn052.txt,"Conto, Valério, 1874",48809,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn053.txt,"Conto, Antes que cases, 1875",45018,contos/macn001.txt,0.0001,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn054.txt,"Conto, Brincar com fogo, 1875",20841,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn055.txt,"Conto, A Mágoa do infeliz Cosme, 1875",22501,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn056.txt,"Conto, Onze anos depois, 1875",31043,contos/macn006.txt,0.0001,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn057.txt,"Conto, A última receita, 1875",11337,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn058.txt,"Conto, Um esqueleto, 1875",30338,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn059.txt,"Conto, O sainete, 1875",16599,contos/macn001.txt,0.0003,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn060.txt,"Conto, Casa, não casa, 1875",25519,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn061.txt,"Conto, Longe dos Olhos, 1876",28549,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn062.txt,"Conto, O Astrólogo, 1876",18952,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
