source_file,category,title_in_contents,in_index_116,role,include_in_master,decision
contos/macn043.txt,contos,"Conto, Decadência de dois grandes homens, 1873",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn044.txt,contos,"Conto, Um Homem superior, 1873",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn045.txt,contos,"Conto, Nem uma nem outra, 1873",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn046.txt,contos,"Conto, Quem conta um conto, 1873",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn047.txt,contos,"Conto, Tempo de crise, 1873",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn048.txt,contos,"Conto, Miloca, 1874",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn049.txt,contos,"Conto, Um dia de entrudo, 1874",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn050.txt,contos,"Conto, Muitos Anos Depois, 1874",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn051.txt,contos,"Conto, Os óculos de Pedro Antão, 1874",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn052.txt,contos,"Conto, Valério, 1874",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn053.txt,contos,"Conto, Antes que cases, 1875",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn054.txt,contos,"Conto, Brincar com fogo, 1875",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn055.txt,contos,"Conto, A Mágoa do infeliz Cosme, 1875",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn056.txt,contos,"Conto, Onze anos depois, 1875",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn057.txt,contos,"Conto, A última receita, 1875",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn058.txt,contos,"Conto, Um esqueleto, 1875",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn059.txt,contos,"Conto, O sainete, 1875",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn060.txt,contos,"Conto, Casa, não casa, 1875",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn061.txt,contos,"Conto, Longe dos Olhos, 1876",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn062.txt,contos,"Conto, O Astrólogo, 1876",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn063.txt,contos,"Conto, D. Mônica, 1876",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn064.txt,contos,"Conto, Encher tempo, 1876",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn065.txt,contos,"Conto, O Passado, o passado, 1876",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn066.txt,contos,"Conto, Sem olhos, 1876",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn067.txt,contos,"Conto, To be or not to be, 1876",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn068.txt,contos,"Conto, História de uma fita azul, 1876",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn069.txt,contos,"Conto, Um Almoço, 1877",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn070.txt,contos,"Conto, Um Ambicioso, 1877",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn071.txt,contos,"Conto, A melhor das noivas, 1877",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn072.txt,contos,"Conto, Silvestre, 1877",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
contos/macn073.txt,contos,"Conto, Antes da Missa, 1878",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta
